Country Name,Country Code,Series,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Colombia,COL,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.22658,14.29211,14.41986,14.40924,14.39857,..,..
Comoros,COM,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.2447,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
"Congo, Rep.",COG,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Costa Rica,CRI,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.11124,15.23608,15.42002,15.65154,15.90237,16.54577,..
Cote d'Ivoire,CIV,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,8.53671,8.89246,9.47921,9.95474,..,..,..
Croatia,HRV,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.27311,15.22484,15.1877,15.22672,15.18179,..,..
Cuba,CUB,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,13.96556,13.76952,13.81695,14.09766,14.2809,..,..
Curacao,CUW,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Cyprus,CYP,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.25613,14.57015,14.74004,15.16887,15.35606,..,..
Czech Republic,CZE,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,16.74844,16.86044,16.83117,16.78511,16.27671,..,..
Denmark,DNK,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,19.13853,19.23701,19.06606,18.89342,18.7937,..,..
Djibouti,DJI,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Dominica,DMA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Dominican Republic,DOM,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,13.75625,14.09283,14.14082,14.22252,..,..,..
Early-demographic dividend,EAR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.8596,12.01575,12.26276,12.22709,12.05607,12.08844,..
East Asia & Pacific,EAS,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.96481,13.12926,13.20162,13.37415,13.54261,13.74897,..
East Asia & Pacific (excluding high income),EAP,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.74979,12.9233,13.00519,13.19464,13.38791,13.60928,..
East Asia & Pacific (IDA & IBRD countries),TEA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.76336,12.93812,13.02029,13.21137,13.40647,13.63054,..
Ecuador,ECU,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,15.19845,..,..,..,..,..
"Egypt, Arab Rep.",EGY,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.73727,..,13.1253,13.32624,..,..,..
El Salvador,SLV,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.54815,12.23846,11.98343,11.6416,11.59388,..,..
Equatorial Guinea,GNQ,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Eritrea,ERI,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,8.72332,8.03471,..,..,..,..,..
Estonia,EST,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,16.21989,16.11494,16.06362,15.989,15.91049,..,..
Eswatini,SWZ,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Ethiopia,ETH,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Euro area,EMU,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,16.61543,16.67501,16.7189,16.84602,16.93496,16.93235,..
Europe & Central Asia,ECS,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.69379,15.79579,15.87068,15.93019,16.06296,16.07614,..
Europe & Central Asia (excluding high income),ECA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.7072,14.90904,15.03731,15.07367,15.3407,15.38209,..
